Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Login with email,,,2018-02-08 11:17:00,2018-02-08 11:20:48,3m - 48.546s,PASSED
,,,,,,
Test Cases/Authentication/Feature_Login/Login with email/EmailLogin01,,Testcase : https://goo.gl/i4XK4D,2018-02-08 11:17:00,2018-02-08 11:18:04,1m - 3.358s,PASSED
startApplication,,,2018-02-08 11:17:01,2018-02-08 11:17:28,26.915s,PASSED
waitForElementPresent,,,2018-02-08 11:17:28,2018-02-08 11:17:31,3.003s,PASSED
tap,,,2018-02-08 11:17:31,2018-02-08 11:17:32,0.961s,PASSED
waitForElementPresent,,,2018-02-08 11:17:32,2018-02-08 11:17:33,1.070s,PASSED
tap,,,2018-02-08 11:17:33,2018-02-08 11:17:34,0.924s,PASSED
waitForElementPresent,,,2018-02-08 11:17:34,2018-02-08 11:17:35,1.253s,PASSED
setText,,,2018-02-08 11:17:35,2018-02-08 11:17:44,8.741s,PASSED
waitForElementPresent,,,2018-02-08 11:17:44,2018-02-08 11:17:44,0.577s,PASSED
setText,,,2018-02-08 11:17:44,2018-02-08 11:17:51,7.161s,PASSED
waitForElementPresent,,,2018-02-08 11:17:51,2018-02-08 11:17:52,0.587s,PASSED
tap,,,2018-02-08 11:17:52,2018-02-08 11:17:52,0.317s,PASSED
waitForElementPresent,,,2018-02-08 11:17:52,2018-02-08 11:17:54,1.949s,PASSED
tap,,,2018-02-08 11:17:54,2018-02-08 11:17:56,1.524s,PASSED
scrollToText,,,2018-02-08 11:17:56,2018-02-08 11:17:57,1.571s,PASSED
delay,,,2018-02-08 11:17:57,2018-02-08 11:17:59,2.029s,PASSED
closeApplication,,,2018-02-08 11:17:59,2018-02-08 11:18:04,4.334s,PASSED
,,,,,,
Test Cases/Authentication/Feature_Login/Login with email/EmailLogin02,,Testcase : https://goo.gl/i4XK4D,2018-02-08 11:18:04,2018-02-08 11:19:01,57.319s,PASSED
startApplication,,,2018-02-08 11:18:04,2018-02-08 11:18:30,25.920s,PASSED
waitForElementPresent,,,2018-02-08 11:18:30,2018-02-08 11:18:32,2.579s,PASSED
tap,,,2018-02-08 11:18:32,2018-02-08 11:18:34,1.220s,PASSED
waitForElementPresent,,,2018-02-08 11:18:34,2018-02-08 11:18:35,1.753s,PASSED
tap,,,2018-02-08 11:18:35,2018-02-08 11:18:36,0.306s,PASSED
waitForElementPresent,,,2018-02-08 11:18:36,2018-02-08 11:18:37,1.311s,PASSED
setText,,,2018-02-08 11:18:37,2018-02-08 11:18:46,8.701s,PASSED
waitForElementPresent,,,2018-02-08 11:18:46,2018-02-08 11:18:46,0.590s,PASSED
setText,,,2018-02-08 11:18:46,2018-02-08 11:18:53,7.308s,PASSED
waitForElementPresent,,,2018-02-08 11:18:53,2018-02-08 11:18:54,0.596s,PASSED
tap,,,2018-02-08 11:18:54,2018-02-08 11:18:54,0.332s,PASSED
waitForElementPresent,,,2018-02-08 11:18:54,2018-02-08 11:18:56,1.415s,PASSED
waitForElementPresent,,,2018-02-08 11:18:56,2018-02-08 11:18:56,0.095s,PASSED
waitForElementPresent,,,2018-02-08 11:18:56,2018-02-08 11:18:56,0.120s,PASSED
waitForElementPresent,,,2018-02-08 11:18:56,2018-02-08 11:18:56,0.110s,PASSED
waitForElementPresent,,,2018-02-08 11:18:56,2018-02-08 11:18:56,0.199s,PASSED
delay,,,2018-02-08 11:18:56,2018-02-08 11:18:58,2.003s,PASSED
closeApplication,,,2018-02-08 11:18:58,2018-02-08 11:19:01,2.544s,PASSED
,,,,,,
Test Cases/Authentication/Feature_Login/Login with email/EmailLogin03,,Testcase : https://goo.gl/i4XK4D,2018-02-08 11:19:01,2018-02-08 11:20:12,1m - 11.221s,PASSED
startApplication,,,2018-02-08 11:19:01,2018-02-08 11:19:21,19.989s,PASSED
startApplication,,,2018-02-08 11:19:21,2018-02-08 11:19:38,16.753s,PASSED
waitForElementPresent,,,2018-02-08 11:19:38,2018-02-08 11:19:43,4.855s,PASSED
tap,,,2018-02-08 11:19:43,2018-02-08 11:19:43,0.312s,PASSED
waitForElementPresent,,,2018-02-08 11:19:43,2018-02-08 11:19:45,1.742s,PASSED
tap,,,2018-02-08 11:19:45,2018-02-08 11:19:45,0.414s,PASSED
waitForElementPresent,,,2018-02-08 11:19:45,2018-02-08 11:19:46,1.255s,PASSED
setText,,,2018-02-08 11:19:46,2018-02-08 11:19:55,8.876s,PASSED
waitForElementPresent,,,2018-02-08 11:19:55,2018-02-08 11:19:56,0.608s,PASSED
setText,,,2018-02-08 11:19:56,2018-02-08 11:20:03,7.271s,PASSED
waitForElementPresent,,,2018-02-08 11:20:03,2018-02-08 11:20:04,0.599s,PASSED
tap,,,2018-02-08 11:20:04,2018-02-08 11:20:07,3.256s,PASSED
waitForElementPresent,,,2018-02-08 11:20:07,2018-02-08 11:20:07,0.111s,PASSED
waitForElementPresent,,,2018-02-08 11:20:07,2018-02-08 11:20:07,0.109s,PASSED
waitForElementPresent,,,2018-02-08 11:20:07,2018-02-08 11:20:07,0.172s,PASSED
waitForElementPresent,,,2018-02-08 11:20:07,2018-02-08 11:20:08,0.109s,PASSED
waitForElementPresent,,,2018-02-08 11:20:08,2018-02-08 11:20:08,0.097s,PASSED
delay,,,2018-02-08 11:20:08,2018-02-08 11:20:10,2.002s,PASSED
closeApplication,,,2018-02-08 11:20:10,2018-02-08 11:20:12,2.490s,PASSED
,,,,,,
Test Cases/Authentication/Feature_Login/Login with email/EmailLogin04,,Testcase : https://goo.gl/i4XK4D,2018-02-08 11:20:12,2018-02-08 11:20:48,35.934s,PASSED
startApplication,,,2018-02-08 11:20:12,2018-02-08 11:20:32,20.023s,PASSED
waitForElementPresent,,,2018-02-08 11:20:32,2018-02-08 11:20:36,3.347s,PASSED
tap,,,2018-02-08 11:20:36,2018-02-08 11:20:37,1.090s,PASSED
waitForElementPresent,,,2018-02-08 11:20:37,2018-02-08 11:20:37,0.401s,PASSED
tap,,,2018-02-08 11:20:37,2018-02-08 11:20:38,0.945s,PASSED
waitForElementPresent,,,2018-02-08 11:20:38,2018-02-08 11:20:39,1.258s,PASSED
waitForElementPresent,,,2018-02-08 11:20:39,2018-02-08 11:20:40,0.123s,PASSED
waitForElementPresent,,,2018-02-08 11:20:40,2018-02-08 11:20:40,0.106s,PASSED
tap,,,2018-02-08 11:20:40,2018-02-08 11:20:43,3.330s,PASSED
waitForElementPresent,,,2018-02-08 11:20:43,2018-02-08 11:20:43,0.134s,PASSED
waitForElementPresent,,,2018-02-08 11:20:43,2018-02-08 11:20:43,0.122s,PASSED
waitForElementPresent,,,2018-02-08 11:20:43,2018-02-08 11:20:43,0.123s,PASSED
waitForElementPresent,,,2018-02-08 11:20:43,2018-02-08 11:20:43,0.143s,PASSED
waitForElementPresent,,,2018-02-08 11:20:43,2018-02-08 11:20:44,0.158s,PASSED
delay,,,2018-02-08 11:20:44,2018-02-08 11:20:46,2.003s,PASSED
closeApplication,,,2018-02-08 11:20:46,2018-02-08 11:20:48,2.447s,PASSED
