Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Register with E-mail,,,2018-02-08 11:20:52,2018-02-08 11:27:18,6m - 26.317s,PASSED
,,,,,,
Test Cases/Authentication/Feature_Register/Register with E-mail/EmailRegister01,,Testcase : https://goo.gl/i4XK4D,2018-02-08 11:20:52,2018-02-08 11:22:19,1m - 27.190s,PASSED
startApplication,,,2018-02-08 11:20:52,2018-02-08 11:21:14,21.308s,PASSED
waitForElementPresent,,\u0E23\u0E2D Navbar hamburger,2018-02-08 11:21:14,2018-02-08 11:21:17,2.885s,PASSED
tap,,,2018-02-08 11:21:17,2018-02-08 11:21:18,0.928s,PASSED
waitForElementPresent,,\u0E23\u0E2D Navbar Login,2018-02-08 11:21:18,2018-02-08 11:21:19,1.072s,PASSED
tap,,,2018-02-08 11:21:19,2018-02-08 11:21:20,0.878s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 Register,2018-02-08 11:21:20,2018-02-08 11:21:21,1.233s,PASSED
tap,,,2018-02-08 11:21:21,2018-02-08 11:21:21,0.678s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:21:21,2018-02-08 11:21:22,0.627s,PASSED
tap,,,2018-02-08 11:21:22,2018-02-08 11:21:23,0.613s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:21:23,2018-02-08 11:21:23,0.623s,PASSED
tap,,,2018-02-08 11:21:23,2018-02-08 11:21:25,1.916s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:21:25,2018-02-08 11:21:26,0.430s,PASSED
tap,,,2018-02-08 11:21:26,2018-02-08 11:21:26,0.762s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:21:26,2018-02-08 11:21:28,1.106s,PASSED
tap,,,2018-02-08 11:21:28,2018-02-08 11:21:30,2.841s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:21:30,2018-02-08 11:21:31,0.404s,PASSED
tap,,,2018-02-08 11:21:31,2018-02-08 11:21:31,0.228s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E43\u0E2A\u0E48\u0E0A\u0E37\u0E48\u0E2D,2018-02-08 11:21:31,2018-02-08 11:21:32,0.876s,PASSED
setText,,,2018-02-08 11:21:32,2018-02-08 11:21:38,6.052s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E43\u0E2A\u0E48\u0E40\u0E21\u0E25,2018-02-08 11:21:38,2018-02-08 11:21:39,0.576s,PASSED
setText,,,2018-02-08 11:21:39,2018-02-08 11:21:44,5.708s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E43\u0E2A\u0E48\u0E1E\u0E32\u0E2A,2018-02-08 11:21:44,2018-02-08 11:21:45,0.620s,PASSED
setText,,,2018-02-08 11:21:45,2018-02-08 11:21:52,7.087s,PASSED
scrollToText,,,2018-02-08 11:21:52,2018-02-08 11:21:59,6.669s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E43\u0E2A\u0E48\u0E23\u0E35\u0E1E\u0E32\u0E2A,2018-02-08 11:21:59,2018-02-08 11:21:59,0.113s,PASSED
setText,,,2018-02-08 11:21:59,2018-02-08 11:22:06,6.951s,PASSED
waitForElementPresent,,\u0E15\u0E34\u0E49\u0E01\u0E16\u0E39\u0E01 agreement,2018-02-08 11:22:06,2018-02-08 11:22:06,0.577s,PASSED
tap,,,2018-02-08 11:22:06,2018-02-08 11:22:07,0.320s,PASSED
waitForElementPresent,,submit,2018-02-08 11:22:07,2018-02-08 11:22:07,0.576s,PASSED
tap,,,2018-02-08 11:22:07,2018-02-08 11:22:08,0.404s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21\u0E2B\u0E25\u0E31\u0E07 register success\r\n,2018-02-08 11:22:08,2018-02-08 11:22:13,5.544s,PASSED
tap,,\u0E23\u0E2D\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21\u0E2B\u0E25\u0E31\u0E07 register success\r\n,2018-02-08 11:22:13,2018-02-08 11:22:14,0.880s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 Register,2018-02-08 11:22:14,2018-02-08 11:22:14,0.482s,PASSED
delay,,,2018-02-08 11:22:14,2018-02-08 11:22:17,2.026s,PASSED
closeApplication,,,2018-02-08 11:22:17,2018-02-08 11:22:19,2.680s,PASSED
,,,,,,
Test Cases/Authentication/Feature_Register/Register with E-mail/EmailRegister02,,Testcase : https://goo.gl/i4XK4D,2018-02-08 11:22:19,2018-02-08 11:23:41,1m - 22.108s,PASSED
startApplication,,,2018-02-08 11:22:19,2018-02-08 11:22:41,21.663s,PASSED
waitForElementPresent,,\u0E23\u0E2D Navbar hamburger,2018-02-08 11:22:41,2018-02-08 11:22:44,2.479s,PASSED
tap,,,2018-02-08 11:22:44,2018-02-08 11:22:45,1.383s,PASSED
waitForElementPresent,,\u0E23\u0E2D Navbar Login,2018-02-08 11:22:45,2018-02-08 11:22:46,1.572s,PASSED
tap,,,2018-02-08 11:22:46,2018-02-08 11:22:47,0.285s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 Register,2018-02-08 11:22:47,2018-02-08 11:22:48,1.506s,PASSED
tap,,,2018-02-08 11:22:48,2018-02-08 11:22:50,1.402s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:22:50,2018-02-08 11:22:50,0.668s,PASSED
tap,,,2018-02-08 11:22:50,2018-02-08 11:22:51,0.920s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:22:51,2018-02-08 11:22:52,0.606s,PASSED
tap,,,2018-02-08 11:22:52,2018-02-08 11:22:53,1.316s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:22:53,2018-02-08 11:22:53,0.233s,PASSED
tap,,,2018-02-08 11:22:53,2018-02-08 11:22:54,1.072s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:22:54,2018-02-08 11:22:55,0.721s,PASSED
tap,,,2018-02-08 11:22:55,2018-02-08 11:22:57,1.706s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:22:57,2018-02-08 11:22:58,1.004s,PASSED
tap,,,2018-02-08 11:22:58,2018-02-08 11:22:58,0.323s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E43\u0E2A\u0E48\u0E0A\u0E37\u0E48\u0E2D,2018-02-08 11:22:58,2018-02-08 11:22:59,0.987s,PASSED
setText,,,2018-02-08 11:22:59,2018-02-08 11:23:05,6.103s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E43\u0E2A\u0E48\u0E40\u0E21\u0E25,2018-02-08 11:23:05,2018-02-08 11:23:06,0.581s,PASSED
setText,,,2018-02-08 11:23:06,2018-02-08 11:23:11,5.505s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E43\u0E2A\u0E48\u0E1E\u0E32\u0E2A,2018-02-08 11:23:11,2018-02-08 11:23:12,0.580s,PASSED
setText,,,2018-02-08 11:23:12,2018-02-08 11:23:19,7.066s,PASSED
scrollToText,,,2018-02-08 11:23:19,2018-02-08 11:23:25,6.407s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E43\u0E2A\u0E48\u0E23\u0E35\u0E1E\u0E32\u0E2A,2018-02-08 11:23:25,2018-02-08 11:23:26,0.130s,PASSED
setText,,,2018-02-08 11:23:26,2018-02-08 11:23:33,7.552s,PASSED
waitForElementPresent,,\u0E15\u0E34\u0E49\u0E01\u0E16\u0E39\u0E01 agreement,2018-02-08 11:23:33,2018-02-08 11:23:34,0.595s,PASSED
tap,,,2018-02-08 11:23:34,2018-02-08 11:23:34,0.289s,PASSED
waitForElementPresent,,submit,2018-02-08 11:23:34,2018-02-08 11:23:35,0.588s,PASSED
tap,,,2018-02-08 11:23:35,2018-02-08 11:23:35,0.353s,PASSED
scrollToText,,,2018-02-08 11:23:35,2018-02-08 11:23:37,1.701s,PASSED
delay,,,2018-02-08 11:23:37,2018-02-08 11:23:39,2.002s,PASSED
closeApplication,,,2018-02-08 11:23:39,2018-02-08 11:23:41,2.607s,PASSED
,,,,,,
Test Cases/Authentication/Feature_Register/Register with E-mail/EmailRegister03,,Testcase : https://goo.gl/i4XK4D,2018-02-08 11:23:41,2018-02-08 11:25:01,1m - 19.475s,PASSED
startApplication,,,2018-02-08 11:23:41,2018-02-08 11:24:01,19.792s,PASSED
waitForElementPresent,,\u0E23\u0E2D Navbar hamburger,2018-02-08 11:24:01,2018-02-08 11:24:04,2.701s,PASSED
tap,,,2018-02-08 11:24:04,2018-02-08 11:24:05,0.902s,PASSED
waitForElementPresent,,\u0E23\u0E2D Navbar Login,2018-02-08 11:24:05,2018-02-08 11:24:06,1.070s,PASSED
tap,,,2018-02-08 11:24:06,2018-02-08 11:24:06,0.233s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 Register,2018-02-08 11:24:06,2018-02-08 11:24:07,1.225s,PASSED
tap,,,2018-02-08 11:24:07,2018-02-08 11:24:08,0.692s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:24:08,2018-02-08 11:24:09,0.637s,PASSED
tap,,,2018-02-08 11:24:09,2018-02-08 11:24:09,0.547s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:24:09,2018-02-08 11:24:10,0.670s,PASSED
tap,,,2018-02-08 11:24:10,2018-02-08 11:24:11,1.488s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:24:11,2018-02-08 11:24:12,0.660s,PASSED
tap,,,2018-02-08 11:24:12,2018-02-08 11:24:13,0.783s,PASSED
waitForElementPresent,,\u0E23\u0E2D\u0E23\u0E39\u0E1B\r\n,2018-02-08 11:24:13,2018-02-08 11:24:14,0.891s,PASSED
tap,,,2018-02-08 11:24:14,2018-02-08 11:24:16,1.910s,PASSED
