Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Home,,,2018-02-09 15:36:23,2018-02-09 15:39:15,2m - 52.346s,PASSED
,,,,,,
Test Cases/Home/HomeMain01,,Testcase : https://goo.gl/kvqiYt,2018-02-09 15:36:24,2018-02-09 15:37:17,53.769s,PASSED
startApplication,,,2018-02-09 15:36:24,2018-02-09 15:36:45,20.761s,PASSED
waitForElementPresent,,,2018-02-09 15:36:45,2018-02-09 15:36:48,3.180s,PASSED
tap,,,2018-02-09 15:36:48,2018-02-09 15:36:49,0.889s,PASSED
waitForElementPresent,,,2018-02-09 15:36:49,2018-02-09 15:36:50,1.046s,PASSED
tap,,,2018-02-09 15:36:50,2018-02-09 15:36:51,1.078s,PASSED
waitForElementPresent,,,2018-02-09 15:36:51,2018-02-09 15:36:53,1.580s,PASSED
tap,,,2018-02-09 15:36:53,2018-02-09 15:36:53,0.596s,PASSED
waitForElementPresent,,,2018-02-09 15:36:53,2018-02-09 15:36:54,1.058s,PASSED
tap,,,2018-02-09 15:36:54,2018-02-09 15:36:55,0.345s,PASSED
waitForElementPresent,,,2018-02-09 15:36:55,2018-02-09 15:36:56,1.072s,PASSED
tap,,,2018-02-09 15:36:56,2018-02-09 15:36:56,0.738s,PASSED
waitForElementPresent,,,2018-02-09 15:36:56,2018-02-09 15:36:58,1.516s,PASSED
tap,,,2018-02-09 15:36:58,2018-02-09 15:36:58,0.430s,PASSED
waitForElementPresent,,,2018-02-09 15:36:58,2018-02-09 15:37:05,6.259s,PASSED
tap,,,2018-02-09 15:37:05,2018-02-09 15:37:05,0.363s,PASSED
waitForElementPresent,,,2018-02-09 15:37:05,2018-02-09 15:37:06,1.120s,PASSED
tap,,,2018-02-09 15:37:06,2018-02-09 15:37:06,0.246s,PASSED
waitForElementPresent,,,2018-02-09 15:37:06,2018-02-09 15:37:07,1.157s,PASSED
tap,,,2018-02-09 15:37:07,2018-02-09 15:37:08,0.254s,PASSED
waitForElementPresent,,,2018-02-09 15:37:08,2018-02-09 15:37:09,1.142s,PASSED
tap,,,2018-02-09 15:37:09,2018-02-09 15:37:09,0.284s,PASSED
waitForElementPresent,,,2018-02-09 15:37:09,2018-02-09 15:37:11,1.524s,PASSED
tap,,,2018-02-09 15:37:11,2018-02-09 15:37:12,0.883s,PASSED
waitForElementPresent,,,2018-02-09 15:37:12,2018-02-09 15:37:13,1.061s,PASSED
delay,,,2018-02-09 15:37:13,2018-02-09 15:37:15,2.019s,PASSED
closeApplication,,,2018-02-09 15:37:15,2018-02-09 15:37:17,2.771s,PASSED
,,,,,,
Test Cases/Home/HomeMain02,,Testcase : https://goo.gl/kvqiYt,2018-02-09 15:37:17,2018-02-09 15:38:19,1m - 1.286s,PASSED
startApplication,,,2018-02-09 15:37:18,2018-02-09 15:37:32,14.106s,PASSED
waitForElementPresent,,,2018-02-09 15:37:32,2018-02-09 15:37:34,2.857s,PASSED
tap,,,2018-02-09 15:37:34,2018-02-09 15:37:35,0.231s,PASSED
waitForElementPresent,,,2018-02-09 15:37:35,2018-02-09 15:37:36,1.633s,PASSED
tap,,,2018-02-09 15:37:36,2018-02-09 15:37:37,0.210s,PASSED
waitForElementPresent,,,2018-02-09 15:37:37,2018-02-09 15:37:38,1.319s,PASSED
setText,,,2018-02-09 15:37:38,2018-02-09 15:37:46,8.601s,PASSED
waitForElementPresent,,,2018-02-09 15:37:46,2018-02-09 15:37:47,0.489s,PASSED
setText,,,2018-02-09 15:37:47,2018-02-09 15:37:53,6.309s,PASSED
waitForElementPresent,,,2018-02-09 15:37:53,2018-02-09 15:37:54,0.567s,PASSED
tap,,,2018-02-09 15:37:54,2018-02-09 15:37:54,0.207s,PASSED
waitForElementPresent,,,2018-02-09 15:37:54,2018-02-09 15:37:55,1.015s,PASSED
tap,,,2018-02-09 15:37:55,2018-02-09 15:37:58,2.549s,PASSED
waitForElementPresent,,,2018-02-09 15:37:58,2018-02-09 15:37:59,1.131s,PASSED
tap,,,2018-02-09 15:37:59,2018-02-09 15:38:00,0.926s,PASSED
